행정구역,년도,총인구수,소아인구수,노인인구수
전국,2008,49540367,5096863,7110229
서울특별시,2008,10200827,930515,1342702
부산광역시,2008,3564577,295585,538619
대구광역시,2008,2492724,243689,331818
인천광역시,2008,2692696,282010,311800
광주광역시,2008,1422702,165726,171348
대전광역시,2008,1480895,165185,170873
울산광역시,2008,1112407,123828,104563
경기도,2008,11292264,1329090,1306582
강원도,2008,1508575,148237,282916
충청북도,2008,1519587,158447,255324
충청남도,2008,2018537,212862,382758
전라북도,2008,1855772,187075,361415
전라남도,2008,1919000,185983,440535
경상북도,2008,2673931,255206,524985
경상남도,2008,3225255,346853,495242
제주특별자치도,2008,560618,66572,88749
전국,2009,49773145,4922969,7401159
서울특별시,2009,10208302,898116,1408317
부산광역시,2009,3543030,282560,565237
대구광역시,2009,2489781,233190,347399
인천광역시,2009,2710579,272841,327442
광주광역시,2009,1433640,160342,180378
대전광역시,2009,1484180,158921,179141
울산광역시,2009,1114866,118517,110475
경기도,2009,11460610,1294934,1371321
강원도,2009,1512870,142407,289564
충청북도,2009,1527478,153273,262181
충청남도,2009,2037582,208777,393997
전라북도,2009,1854508,179453,371020
전라남도,2009,1913004,176731,449340
경상북도,2009,2669876,242857,540469
경상남도,2009,3250176,336134,513313
제주특별자치도,2009,562663,63916,91565
전국,2010,50515666,4757524,7782587
서울특별시,2010,10312545,859521,1504667
부산광역시,2010,3567910,270610,599836
대구광역시,2010,2511676,222427,366227
인천광역시,2010,2758296,263741,346561
광주광역시,2010,1454636,154341,190347
대전광역시,2010,1503664,153722,189437
울산광역시,2010,1126298,113836,118181
경기도,2010,11786622,1269897,1456012
강원도,2010,1529818,136122,299088
충청북도,2010,1549528,148942,271108
충청남도,2010,2075514,204750,408926
전라북도,2010,1868963,172192,385224
전라남도,2010,1918485,167968,460360
경상북도,2010,2689920,232523,556756
경상남도,2010,3290536,325513,534344
제주특별자치도,2010,571255,61419,95513
전국,2011,50734284,4675849,8020279
서울특별시,2011,10249679,836648,1543069
부산광역시,2011,3550963,265322,623335
대구광역시,2011,2507271,216314,380433
인천광역시,2011,2801274,264688,360437
광주광역시,2011,1463464,150813,197801
대전광역시,2011,1515603,152202,196937
울산광역시,2011,1135494,112420,124893
경기도,2011,11937415,1255168,1509529
강원도,2011,1536448,132030,304331
충청북도,2011,1562903,147046,278068
충청남도,2011,2101284,203983,418687
전라북도,2011,1874031,168041,394072
전라남도,2011,1914339,163188,467559
경상북도,2011,2699195,228029,570722
경상남도,2011,3308765,319852,552051
제주특별자치도,2011,576156,60105,98355
전국,2012,50948272,4668711,8408663
서울특별시,2012,10195318,825987,1619521
부산광역시,2012,3538484,265434,657106
대구광역시,2012,2505644,214843,401870
인천광역시,2012,2843981,269487,384237
광주광역시,2012,1469216,149644,207611
대전광역시,2012,1524583,152264,207941
울산광역시,2012,1147256,113647,133844
세종특별자치시,2012,113117,12032,22906
경기도,2012,12093299,1258575,1601518
강원도,2012,1538630,129660,318860
충청북도,2012,1565628,145970,288716
충청남도,2012,2028777,196796,411506
전라북도,2012,1873341,166173,405499
전라남도,2012,1909618,161500,477349
경상북도,2012,2698353,226899,591562
경상남도,2012,3319314,319389,576412
제주특별자치도,2012,583713,60411,102205
전국,2013,51141463,4623934,8737654
서울특별시,2013,10143645,808737,1683046
부산광역시,2013,3527635,263925,686144
대구광역시,2013,2501588,211105,419926
인천광역시,2013,2879782,270008,404699
광주광역시,2013,1472910,146975,215273
대전광역시,2013,1532811,151389,217453
울산광역시,2013,1156480,113736,142401
세종특별자치시,2013,122153,13360,23913
경기도,2013,12234630,1251576,1681601
강원도,2013,1542263,126868,329876
충청북도,2013,1572732,144585,298753
충청남도,2013,2047631,196979,422468
전라북도,2013,1872965,163559,414786
전라남도,2013,1907172,159089,483837
경상북도,2013,2699440,224312,610777
경상남도,2013,3333820,317065,597113
제주특별자치도,2013,593806,60666,105588
전국,2014,51327916,4591374,9147370
서울특별시,2014,10103233,793992,1759482
부산광역시,2014,3519401,263767,720268
대구광역시,2014,2493264,208524,438702
인천광역시,2014,2902608,270156,429563
광주광역시,2014,1475884,145156,224771
대전광역시,2014,1531809,148662,229976
울산광역시,2014,1166377,114860,152208
세종특별자치시,2014,156125,19524,26728
경기도,2014,12357830,1243973,1780595
강원도,2014,1544442,124511,344204
충청북도,2014,1578933,142815,311551
충청남도,2014,2062273,196099,438235
전라북도,2014,1871560,161307,428786
전라남도,2014,1905780,157224,494954
경상북도,2014,2700794,222679,632243
경상남도,2014,3350257,316462,624506
제주특별자치도,2014,607346,61663,110598
전국,2015,51529338,4601688,9656763
서울특별시,2015,10022181,783299,1847676
부산광역시,2015,3513777,267227,762654
대구광역시,2015,2487829,208115,462409
인천광역시,2015,2925815,271758,461292
광주광역시,2015,1472199,143700,236357
대전광역시,2015,1518775,145049,243621
울산광역시,2015,1173534,116241,164509
세종특별자치시,2015,210884,29825,31351
경기도,2015,12522606,1251234,1912653
강원도,2015,1549507,123275,360910
충청북도,2015,1583952,142319,326888
충청남도,2015,2077649,197236,458092
전라북도,2015,1869711,159824,445741
전라남도,2015,1908996,158142,508892
경상북도,2015,2702826,223394,657871
경상남도,2015,3364702,317867,658095
제주특별자치도,2015,624395,63183,117752
전국,2016,51696216,4566168,10134728
서울특별시,2016,9930616,761314,1923213
부산광역시,2016,3498529,267087,798789
대구광역시,2016,2484557,207036,485662
인천광역시,2016,2943069,269510,490540
광주광역시,2016,1469214,140957,246989
대전광역시,2016,1514370,142076,257327
울산광역시,2016,1172304,115921,175893
세종특별자치시,2016,243048,34911,34910
경기도,2016,12716780,1251110,2044471
강원도,2016,1550806,121381,377649
충청북도,2016,1591625,141545,343090
충청남도,2016,2096727,197206,476486
전라북도,2016,1864791,157372,459952
전라남도,2016,1903914,156736,520641
경상북도,2016,2700398,222272,683618
경상남도,2016,3373871,315476,690760
제주특별자치도,2016,641597,64258,124738
전국,2017,51778544,4435198,10666349
서울특별시,2017,9857426,728462,2006472
부산광역시,2017,3470653,258732,837866
대구광역시,2017,2475231,201043,510382
인천광역시,2017,2948542,259925,523893
광주광역시,2017,1463770,135873,259819
대전광역시,2017,1502227,135218,271745
울산광역시,2017,1165132,112441,188429
세종특별자치시,2017,280100,40172,39401
경기도,2017,12873895,1226500,2188530
강원도,2017,1550142,116726,397313
충청북도,2017,1594432,137206,361423
충청남도,2017,2116770,193878,496978
전라북도,2017,1854607,150817,476417
전라남도,2017,1896424,151229,536080
경상북도,2017,2691706,215451,711642
경상남도,2017,3380404,307415,728257
제주특별자치도,2017,657083,64110,131702
전국,2018,51826059,4303062,11193257
서울특별시,2018,9765623,690368,2084246
부산광역시,2018,3441453,251442,874182
대구광역시,2018,2461769,194953,532908
인천광역시,2018,2954642,251301,558602
광주광역시,2018,1459336,131277,272334
대전광역시,2018,1489936,128497,285272
울산광역시,2018,1155623,108363,201236
세종특별자치시,2018,314126,44452,43947
경기도,2018,13077153,1209856,2346568
강원도,2018,1543052,112664,416228
충청북도,2018,1599252,133659,379320
충청남도,2018,2126282,189024,516614
전라북도,2018,1836832,143990,490867
전라남도,2018,1882970,145246,551115
경상북도,2018,2676831,207609,737233
경상남도,2018,3373988,296642,764033
제주특별자치도,2018,667191,63719,138552
전국,2019,51849861,4166914,11791950
서울특별시,2019,9729107,662693,2179310
부산광역시,2019,3413841,243321,914540
대구광역시,2019,2438031,188312,561258
인천광역시,2019,2957026,242400,596023
광주광역시,2019,1456468,126519,287281
대전광역시,2019,1474870,121829,300403
울산광역시,2019,1148019,104371,215905
세종특별자치시,2019,340575,47249,48533
경기도,2019,13239666,1184990,2513666
강원도,2019,1541502,109556,437496
충청북도,2019,1600007,129285,398054
충청남도,2019,2123709,181907,538767
전라북도,2019,1818917,137083,509438
전라남도,2019,1868745,139429,569636
경상북도,2019,2665836,200184,771746
경상남도,2019,3362553,285500,804153
제주특별자치도,2019,670989,62286,145741
전국,2020,51829023,3970070,12446546
서울특별시,2020,9668465,623745,2275599
부산광역시,2020,3391946,232356,957514
대구광역시,2020,2418346,178226,589060
인천광역시,2020,2942828,228634,636196
광주광역시,2020,1450062,119692,303295
대전광역시,2020,1463882,114529,317204
울산광역시,2020,1136017,98506,231488
세종특별자치시,2020,355831,47283,52890
경기도,2020,13427014,1145984,2703166
강원도,2020,1542840,105598,461177
충청북도,2020,1600837,123371,419207
충청남도,2020,2121029,172628,566081
전라북도,2020,1804104,128692,532174
전라남도,2020,1851549,132202,591838
경상북도,2020,2639422,189561,805487
경상남도,2020,3340216,268766,850571
제주특별자치도,2020,674635,60297,153599
전국,2021,51638809,3760350,12987782
서울특별시,2021,9509458,583683,2320109
부산광역시,2021,3350380,219611,986656
대구광역시,2021,2385412,167823,613267
인천광역시,2021,2948375,217384,674683
광주광역시,2021,1441611,114065,315550
대전광역시,2021,1452251,107548,332427
울산광역시,2021,1121592,92018,246261
세종특별자치시,2021,371895,47063,57169
경기도,2021,13565450,1099927,2874785
강원도,2021,1538492,100971,481387
충청북도,2021,1597427,116975,440818
충청남도,2021,2119257,162726,591986
전라북도,2021,1786855,119673,549965
전라남도,2021,1832803,123712,609063
경상북도,2021,2626609,178515,839027
경상남도,2021,3314183,250669,894331
제주특별자치도,2021,676759,57987,160298
전국,2022,51439038,3532642,13485327
서울특별시,2022,9428372,545317,2376138
부산광역시,2022,3317812,206377,1015212
대구광역시,2022,2363691,157730,635665
인천광역시,2022,2967314,208942,712345
광주광역시,2022,1431050,106977,326561
대전광역시,2022,1446072,102233,345759
울산광역시,2022,1110663,85061,260238
세종특별자치시,2022,383591,45951,61005
경기도,2022,13589432,1040954,3023136
강원도,2022,1536498,96036,499873
충청북도,2022,1595058,109410,459521
충청남도,2022,2123037,152498,615003
전라북도,2022,1769607,110400,565379
전라남도,2022,1817697,114889,624130
경상북도,2022,2600492,165119,865860
경상남도,2022,3280493,229942,932541
제주특별자치도,2022,678159,54806,166961
전국,2023,51325329,3332892,13950110
서울특별시,2023,9386034,513562,2440415
부산광역시,2023,3293362,194403,1040733
대구광역시,2023,2374960,150403,671088
인천광역시,2023,2997410,202329,749001
광주광역시,2023,1419237,99779,339020
대전광역시,2023,1442216,96727,357071
울산광역시,2023,1103661,79086,272754
세종특별자치시,2023,386525,43541,63482
경기도,2023,13630821,989550,3166838
강원특별자치도,2023,1527807,90872,514346
충청북도,2023,1593469,103333,473101
충청남도,2023,2130119,143771,633445
전라북도,2023,1754757,102482,578227
전라남도,2023,1804217,107726,638809
경상북도,2023,2554324,151926,875605
경상남도,2023,3251158,211999,962206
제주특별자치도,2023,675252,51403,173969
전국,2024,51217221,3140118,14448426
서울특별시,2024,9331828,483780,2506338
부산광역시,2024,3266598,181736,1066008
대구광역시,2024,2363629,142228,695405
인천광역시,2024,3021010,195196,787566
광주광역시,2024,1408422,92837,351707
대전광역시,2024,1439157,91513,370731
울산광역시,2024,1098049,73097,285966
세종특별자치시,2024,390685,41351,66670
경기도,2024,13694685,939988,3328978
강원특별자치도,2024,1517766,85769,529090
충청북도,2024,1591177,97837,488859
충청남도,2024,2136574,135316,655508
전북특별자치도,2024,1738690,95081,591893
전라남도,2024,1788819,101368,651577
경상북도,2024,2531384,140258,898500
경상남도,2024,3228380,195007,993526
제주특별자치도,2024,670368,47756,180104
